anon_name,z_helio,SALT2_x0,SALT2_x0_err,SALT2_x1,SALT2_x1_err,SALT2_c,SALT2_c_err,SALT2_mbstar,SALT2_MB191,SNEMO2_c0,SNEMO2_c0_err,SNEMO2_As,SNEMO2_As_err,SNEMO2_c1,SNEMO2_c1_err,SNEMO2_mbstar,SNEMO2_MB191,SNEMO7_c0,SNEMO7_c0_err,SNEMO7_As,SNEMO7_As_err,SNEMO7_c1,SNEMO7_c1_err,SNEMO7_c2,SNEMO7_c2_err,SNEMO7_c3,SNEMO7_c3_err,SNEMO7_c4,SNEMO7_c4_err,SNEMO7_c5,SNEMO7_c5_err,SNEMO7_c6,SNEMO7_c6_err,SNEMO7_mbstar,SNEMO7_MB191,SNEMO15_c0,SNEMO15_c0_err,SNEMO15_As,SNEMO15_As_err,SNEMO15_c1,SNEMO15_c1_err,SNEMO15_c2,SNEMO15_c2_err,SNEMO15_c3,SNEMO15_c3_err,SNEMO15_c4,SNEMO15_c4_err,SNEMO15_c5,SNEMO15_c5_err,SNEMO15_c6,SNEMO15_c6_err,SNEMO15_c7,SNEMO15_c7_err,SNEMO15_c8,SNEMO15_c8_err,SNEMO15_c9,SNEMO15_c9_err,SNEMO15_c10,SNEMO15_c10_err,SNEMO15_c11,SNEMO15_c11_err,SNEMO15_c12,SNEMO15_c12_err,SNEMO15_c13,SNEMO15_c13_err,SNEMO15_c14,SNEMO15_c14_err,SNEMO15_mbstar,SNEMO15_MB191
SN146,0.012272,0.0052101079982424525,3.1741535457947807e-06,-1.0403801078587165,0.0010716254026105097,0.3893567290786004,0.0003886764790572772,16.204919293270322,1.6812630432297908,2.317369657281562e-15,1.6243878686926364e-18,1.4771323872653994,0.0009461786537042697,2.1023000160120624,0.002023925644798,16.17739851023937,1.6537422601988396,2.5542982305906762e-15,1.8279301331017616e-18,1.4244303564342342,0.0009316659920797255,-0.43471893643309656,0.0017281371136539294,1.5516768210821184,0.0016561261881153481,-1.6840140547089604,0.0033915061611972065,0.17132458798822725,0.004819050758094901,-1.3320477624614764,0.006493526385622686,-1.6912275689538703,0.0059258053225283705,15.995888100479023,1.4722318504384901,2.8142681202937996e-15,2.9331685422718033e-18,1.2573320815542548,0.0012490130494322248,-0.1828306100491197,0.0026666404511199357,1.489028908901556,0.0020049411759178906,-1.065901252235955,0.004545491211101268,-0.10452417603104713,0.005601270500473885,-1.461233462444122,0.006447401258559992,0.25295688449514486,0.008344654251134453,-0.6743228282202516,0.009209669976562303,-0.5921020745092935,0.012538897910353931,-0.36131201319761175,0.011366058156392104,-0.06749472478824892,0.011135239969281186,1.9900161831996641,0.009388963325814218,-0.6462111300021203,0.01068598659931124,1.173971513005485,0.011811906455528346,-0.48126277261235373,0.016123601588504947,16.0466314654224,1.5229752153818694
SN147,0.034547,0.0050859977468151185,1.990331211556818e-06,0.8602881902558384,0.002352057142642177,-0.12181550660629004,0.0002806642494692204,16.238976587423846,-0.5683724393346203,3.4864307251138816e-16,2.699965573351029e-19,-0.16169339625766277,0.0008398379723738033,-1.2156873003522364,0.003140299904005406,16.276269739944304,-0.5310792868141618,3.553763990402126e-16,2.8733724062245183e-19,-0.1466797599235221,0.0008624913847402372,0.2821984631461234,0.002421820777342831,-0.9086698808402911,0.0028251710618919677,-0.3129430180203947,0.004615970536464099,-1.0739773525968133,0.006166747919488403,-1.8993980471111414,0.009014732995299844,0.7150651352381754,0.00811737463706494,16.282270813375867,-0.5250782133825993,3.4209937200125274e-16,3.3904614572753387e-19,-0.45245552315161675,0.0010067954791892985,0.20729683702151824,0.0026477883204967054,-0.9865955393826162,0.0031977074087669033,-0.8685794073240576,0.0050091811381023634,1.3002425941552964,0.0063202118240577,-0.5998541171036429,0.008842737875054291,-1.709764460282484,0.009206209367854178,0.512904626883854,0.011581012727058988,0.23784373233772804,0.012482077256824202,-0.5341169059773119,0.01462893671457842,-0.6151920719177042,0.014764905563421018,-0.4554935997891256,0.01519203690290498,-1.1674437771122346,0.01735229390653632,-0.17941232698693454,0.019135254354432852,-1.6134836770980208,0.024456795049450097,16.25901420677535,-0.5483348199831148
SN148,0.05519,0.00130225640664966,1.3876861975675604e-06,0.14602462270111083,0.005802171754661217,0.03167876158024807,0.0007890787846451113,17.718737105026143,-0.1383925842448619,1.6628175914671873e-16,3.491877085571602e-19,0.39821378480650793,0.0023898976487992892,0.5368845694336439,0.009899836089817525,17.706213482544616,-0.1509162067263894,1.6345078367527244e-16,3.8514140565983982e-19,0.37033177794898897,0.0025241155555719365,-0.23775401910235772,0.006521464185566038,0.29685783695141055,0.007863061951511315,-0.2805840431002906,0.013101982336303096,-0.44312693041905504,0.020228008560773215,3.116202172707162,0.0253981888111997,-1.002338210588226,0.028965405269036636,17.701440190133233,-0.15568949913777175,1.681590871464971e-16,4.634970664848195e-19,0.1350706974105993,0.002727567443393989,-0.6032292600516804,0.009280101605417921,0.48124864493294695,0.008698797862781188,-0.3149049270533606,0.015153551456312373,0.04706266941749959,0.021690486225701636,2.3220016066401037,0.028865945960894375,2.9143398321057834,0.03758628148168567,-1.0558112897294034,0.03636941028993712,1.5810043870780852,0.055583837394023845,-1.063179636787705,0.039745819359650304,1.957841421390583,0.051853419656237285,-2.8499101591347964,0.04959419918607329,-1.1090455045914975,0.04626123156549767,1.1375104722793132,0.05740057307408705,-0.7303501776705765,0.07301075251597411,17.671185326806693,-0.185944362464312
SN149,0.02472,0.009509681495933897,2.1333025116788176e-06,0.4252059968873798,0.0015301029095356293,-0.060589600223322826,0.00016957284388866928,15.560047842450317,-0.5046592675895809,8.326663360318465e-16,3.9633835920681816e-19,0.049535455118444816,0.0005123087199135824,-0.5077426441208246,0.002235934741571319,15.56276787287054,-0.5019392371693598,8.309997438349481e-16,4.527577401846954e-19,0.04817371495770573,0.0005608181784213643,-0.6147666871235469,0.0014626061357595312,-0.9366200643916329,0.0019306786281591568,0.8490590813502248,0.00297944010247362,-0.7762011130525188,0.004611588863924127,-0.8206172692485669,0.005830988051927104,0.9399105147498013,0.006352722238084497,15.57257010159747,-0.4921370084424268,8.392253003930594e-16,5.836966463390999e-19,-0.2044767589845975,0.0006660053391854718,-0.7572539092008128,0.0019290093850397815,-1.0075527100641821,0.002072614686450896,0.4183927231549216,0.0033152520831979215,0.8113626600337813,0.005316550416184416,-0.48024413855724646,0.006778057358223129,-0.39157206140553313,0.00843210168684228,1.6809947682537274,0.007976754539372207,-0.4208098579371473,0.011971016941694711,-0.808600810718584,0.009290180354160953,-0.11453188126563063,0.011594714282568835,-0.6507518357949742,0.00997173298484795,-0.0021806062719598174,0.011454040310104162,-0.19439743952334965,0.013580617844903768,-0.718582150720593,0.01848185857143138,15.561842379589317,-0.5028647304505824
SN150,0.09491,0.0005462267329681136,1.0365981912899255e-06,0.1324991633500492,0.013695255047233384,-0.08325977672306362,0.0014914457192189824,18.661943987826223,-0.4323818513581905,4.2622239032307723e-17,1.8934113671427695e-19,-0.03154574438027069,0.004608329311595027,0.020668014073352836,0.018490669304538642,18.64669117282482,-0.44763466635959404,4.4912269116949624e-17,2.2669059481780127e-19,0.03355369600114955,0.005179648818980591,-0.655691198675715,0.012817781452053147,-0.8859144989639454,0.0171632458467187,1.3524451921024259,0.024321847796284143,-0.3112864426357902,0.035275959036979505,-0.5797189066375079,0.04850762993103626,0.27595338292179505,0.05748337470928032,18.713889270196333,-0.3804365689880811,4.5851904506220236e-17,2.74270938020642e-19,-0.22030656689578265,0.005752444746146512,-0.6877224787316845,0.01736253625400939,-0.9326726022913476,0.01892876218451671,0.8889424704414246,0.028429835467391702,0.2802763466061453,0.04624376077137937,-0.4098787675397091,0.058311297647296804,-0.5669179035919676,0.06571560654319128,1.3431139249177697,0.06960844794514692,-0.32796743799614525,0.09556469740626679,-1.8558397566612648,0.08294590089466607,-0.2569598570901981,0.09128726622086868,-1.4777106673528824,0.09291014489133513,0.4324589986858669,0.0859100665612572,-0.7127870076310199,0.11357269804703672,0.46589743077829837,0.14463870844575896,18.695226973714135,-0.39909886547027895
SN151,0.07385,0.0008288023662557653,7.953846518050222e-07,0.34240170379867063,0.005452662031717953,-0.07239579681805264,0.0007363424865753354,18.209286146565454,-0.308876743131691,7.011226599641146e-17,1.4299875978290927e-19,0.033961057927529126,0.002225584549187105,-0.46899032728316037,0.0068774248031334495,18.22612423271452,-0.2920386569826263,6.83595340385625e-17,1.496017540079353e-19,0.003753349924370042,0.002319649696087727,-0.2360707895855132,0.006281699175029999,-0.34517694662271126,0.007173473106987071,-1.472198009465707,0.01168831604159931,-0.5161266720902855,0.0166957816369301,0.6912597014401083,0.022408217677021582,0.2615208957328008,0.021230518811095743,18.190026239542572,-0.3281366501545726,6.99318735992976e-17,1.89235710243082e-19,-0.2428277979537956,0.002635145549682923,-0.09852846667739001,0.007991218184042682,0.00934843832151877,0.008351423185413508,-1.6691862454604767,0.013726086338359242,0.13848066004491066,0.01896422352600048,0.7803147390632148,0.025546001475356326,0.5981354699324477,0.027432546002696373,-0.34106321741660217,0.032186121033716604,-0.06351955012691413,0.043491858904288576,-0.979721989397202,0.03749757846815578,-1.9873846212802633,0.04089298470453078,-0.6146397520191709,0.041361990365213215,-1.92532918602892,0.04051127210733195,-0.20623294621613297,0.04460937999733798,1.363330641182758,0.06421879995873332,18.169581763072344,-0.3485811266248007
SN152,0.05552,0.000852743493332031,1.699216993400558e-06,0.004845512874519287,0.00922758762701182,0.08158970825893164,0.0014495447037647501,18.178065456768387,0.3074782733761907,1.2439734866356566e-16,4.456450681520773e-19,0.49461470276393626,0.0041364756367996145,0.17659628022082785,0.014776903393658768,18.172325359601878,0.3017381762096818,1.3836637647167034e-16,5.632123771501077e-19,0.5866818689167079,0.004496994464341143,-0.8090359497627322,0.012012232551776508,-0.17396167321363087,0.011340389688731632,-0.9132444778484405,0.021043265003942446,0.5698754290666344,0.033848676105601556,1.246717531744645,0.0452462027851231,0.7104953113967838,0.04879705890706848,18.15389971763595,0.28331253424375547,1.3372077070702227e-16,7.05588552999599e-19,0.29047249477240733,0.0053656451435468685,-0.7886716462303749,0.016681184045678487,0.19907945981269926,0.012826813479844426,-0.9064601376526298,0.027213289429911854,-0.7194699304211678,0.040276684452204774,1.1234980848342921,0.05063690923708873,0.4204849525685965,0.05632310554227314,0.20927625942594297,0.06530449665882167,-0.48422452634661894,0.08380327818554123,-0.015405861296532208,0.0745166693073283,-1.3004682593414785,0.07771131066672488,-0.9012292416530752,0.07526411289394602,0.38803422211554306,0.07463498457696825,0.29987223054744305,0.09396234463108999,0.5179416786171505,0.12519186372873453,18.15434048189779,0.2837532985055944
SN153,0.056799,0.0010685128924234344,1.878037078181451e-06,-0.9334598092339865,0.007412884927713303,-0.05351907878296558,0.001260479271305362,17.933736558744368,0.011710442491565942,1.0481211561352272e-16,3.4439615047531753e-19,0.2504848496002232,0.0038202448351543506,1.3308687259943106,0.011409710599299978,17.96175386481917,0.03972774856636718,1.091850784491657e-16,3.664363350144923e-19,0.2341838671947194,0.0037754135452061793,-0.6148503792623128,0.010325192762401783,0.7090484224213611,0.009418970058669554,-1.5744532573602186,0.018576274787473444,1.0434832843709767,0.025200371223855954,-0.6723394593291072,0.03717593271275034,-0.5781643487788752,0.03263536811230465,17.884387668496863,-0.03763844775593839,1.1072985069737963e-16,5.189738014637098e-19,-0.025454597985303806,0.0046909548044414984,-0.438206060496821,0.013763936219157814,0.9015401821774738,0.01139643243229033,-1.2822941068363054,0.023440336326502848,-0.8930353232594612,0.029648562629399463,-0.6641680869487949,0.04189826500077862,0.489680180636471,0.0464506054924984,-0.6211692633934192,0.056145833150253725,0.24919257510687842,0.0789242433614266,-1.3937368737711644,0.05645557957648771,-0.24548121761753627,0.07185253885344677,0.8286719246733085,0.058284925500330015,-0.34104021979412913,0.06680023362159257,0.6392358655514574,0.06757229635392041,0.7605870340345415,0.0944521466673081,17.885809570058505,-0.036216546194296484
SN154,0.07799,0.0007170312322378747,1.1657512497271371e-06,0.03991105580183252,0.011482615274832849,-0.024099497733188535,0.0012620054818809992,18.366767866271665,-0.2760756050585229,7.242439292187031e-17,2.6178074224364883e-19,0.19004287901349315,0.003817128058595632,0.03805076231024884,0.0167769424773968,18.364496199700984,-0.2783472716292046,7.555840737654352e-17,3.4436197102963854e-19,0.23306762415479554,0.00456879202885738,-0.6171823978862818,0.011054063609967652,-0.3336518312116876,0.014340834521764408,-0.3213122191857174,0.02059584571140733,0.03000077715578442,0.03140055980593749,0.098513137091782,0.04144373071924179,0.37342737357858624,0.04604565510356137,18.36693452570231,-0.2759089456278794,7.215796086304888e-17,4.054949335376693e-19,-0.08893565295682393,0.00540113882440723,-0.5701126064573074,0.014394414330929145,-0.2920000913455354,0.015978921583077545,-0.47938194422192737,0.026706921460906315,-0.41728856491135247,0.04288723273446645,0.4245842631128749,0.054510307117740096,-0.7052959427626266,0.06388855067872257,0.4471935258078972,0.0604036894373704,0.8731976096648726,0.08487096724661068,0.6349810869041494,0.07022503706847394,-0.7369810066518383,0.07122843638434134,-0.44979526008690485,0.07472442935815245,-0.5589695750172972,0.08643216830972754,-1.0767063383200615,0.10214820312658099,0.8796351308870101,0.12518075137657877,18.368060719135848,-0.2747827521943407
