13500	0.000
13621.95122	0.495
13743.90244	0.937
13865.85366	1.383
13987.80488	1.834
14109.7561	2.630
14231.70732	2.644
14353.65854	2.661
14475.60976	2.674
14597.56098	2.687
14719.5122	2.698
14841.46341	2.707
14963.41463	2.717
15085.36585	2.725
15207.31707	2.735
15329.26829	2.745
15451.21951	2.754
15573.17073	2.762
15695.12195	2.768
15817.07317	2.776
15939.02439	2.784
16060.97561	2.792
16182.92683	2.799
16304.87805	2.806
16426.82927	2.811
16548.78049	2.816
16670.73171	2.823
16792.68293	2.829
16914.63415	2.834
17036.58537	2.840
17158.53659	2.845
17280.4878	2.850
17402.43902	2.779
17524.39024	2.408
17646.34146	2.035
17768.29268	1.660
17890.2439	1.285
18012.19512	0.530
18134.14634	0.152
18256.09756	0.000
