11097.56098	0.000
11195.12195	0.208
11292.68293	0.678
11390.2439	1.154
11487.80488	1.637
11585.36585	2.124
11682.92683	2.328
11780.4878	2.341
11878.04878	2.354
11975.60976	2.368
12073.17073	2.380
12170.73171	2.393
12268.29268	2.406
12365.85366	2.420
12463.41463	2.433
12560.97561	2.446
12658.53659	2.462
12756.09756	2.475
12853.65854	2.487
12951.21951	2.500
13048.78049	2.512
13146.34146	2.524
13243.90244	2.536
13341.46341	2.548
13439.02439	2.559
13536.58537	2.570
13634.14634	2.581
13731.70732	2.592
13829.26829	2.607
13926.82927	2.618
14024.39024	2.626
14121.95122	2.633
14219.5122	2.643
14317.07317	2.430
14414.63415	2.012
14512.19512	1.590
14609.7561	1.164
14707.31707	0.736
14804.87805	0.304
14902.43902	0.000
